N,X,Y,H
122,36.3847200013697,55.1972769666463,202.98
123,36.3846945203841,55.1972713507712,202.98
124,36.3847104460001,55.1972819119692,203.46
125,36.3847055006772,55.1972766313702,201.53
126,36.384702231735,55.1972791459411,202.98
127,36.3846972025931,55.1972767151892,203.46
128,36.3847121223807,55.197286773473,202.98
129,36.3846958614886,55.1972673274577,203.46
130,36.3847014773637,55.1972903776914,203.46
131,36.3846958614886,55.197294736281,203.46
132,36.3847034890205,55.1973010227084,203.46
133,36.3847009744495,55.1973117515445,202.49
134,36.384728718549,55.1972716860473,203.46
135,36.3847138825804,55.1972551736981,202.98
136,36.3847108650953,55.1972705125809,203.46
137,36.3847065903246,55.1972886174917,202.98
138,36.3846912514418,55.1972953230143,203.46
139,36.3846853841096,55.1972951553762,203.46
140,36.3846900779754,55.1973015256226,203.46
141,36.3846961967647,55.1973220612854,203.46
142,36.3847080152482,55.1973234023899,203.46
143,36.3847251143306,55.1973073091358,203.46
144,36.3847402017564,55.1972916349769,203.46
145,36.3847609888762,55.1972733624279,203.46
146,36.3847485836595,55.1972607895732,203.46
147,36.3847144693136,55.1972633041441,203.46
148,36.3847509305924,55.1972568500787,203.46
149,36.3847635034472,55.1972717698663,203.46
150,36.3847088534385,55.1972809061408,202.98
151,36.3847125414759,55.1972846779972,202.98
152,36.3847196660936,55.1972801517695,202.98
153,36.3847004715353,55.1972862705588,203.46
154,36.3847184088081,55.1972674112767,203.46
155,36.3847334962338,55.1972799003124,202.98
156,36.3847196660936,55.1972981728613,202.98
157,36.3847267907113,55.197289455682,203.46
158,36.384720755741,55.1972996816039,203.46
159,36.3847322389484,55.1972811575979,203.46
160,36.384712792933,55.1972887013107,203.46
161,36.3846935145557,55.1972987595946,202.98
162,36.3846896588802,55.1973037049174,203.46
163,36.3846781756729,55.1973100751638,203.46
164,36.3846611604095,55.1973225641996,203.94
165,36.3846371043473,55.1973218936473,203.46
166,36.3846640940756,55.1973218936473,203.94
167,36.3846598193049,55.1973301079124,203.46
168,36.3846518564969,55.1973323710263,203.94
169,36.3846530299634,55.1973430998623,203.94
170,36.3846571370959,55.1973301917315,203.94
171,36.3846665248275,55.1973265875131,203.94
172,36.3846345897764,55.1973245758563,204.42
173,36.3846529461443,55.1973467040807,203.94
174,36.3846349250525,55.1973631326109,204.42
175,36.3846634235233,55.1973661500961,204.9
176,36.3846788462251,55.1973816566169,204.9
177,36.3846715539694,55.1974031981081,204.9
178,36.3846845459193,55.1973958220333,205.38
179,36.3846780080348,55.1973707601428,205.86
180,36.3846584782004,55.1973867695779,205.38
181,36.3846395350993,55.197405712679,205.38
182,36.3846550416201,55.1973820757121,205.86
183,36.3846635911614,55.197363300249,206.34
184,36.384686389938,55.1973328739405,206.34
185,36.3846938498318,55.1973439380526,206.82
186,36.3847329095006,55.1973565947264,206.82
187,36.3847487512976,55.19730521366,206.82
188,36.3847355078906,55.197289455682,207.3
189,36.3847384415567,55.1973100751638,207.3
190,36.3847448956221,55.1973337959498,206.82
191,36.3847622461617,55.1973191276193,207.3
192,36.3847626652569,55.1973271742463,207.3
193,36.3847439736128,55.197331532836,206.82
194,36.3847326580435,55.1973195467144,207.3
195,36.384752523154,55.1972964964807,207.78
196,36.3847624137998,55.197278810665,207.78
197,36.3847775012255,55.1972160302103,207.3
198,36.3848598953336,55.1972052175552,207.3
199,36.3849845342338,55.1971722766757,207.78
200,36.3850092608482,55.1971584465355,207.78
201,36.3850422017276,55.1971484720707,207.78
202,36.3851553574204,55.1970828417689,207.78
203,36.3851740490645,55.1970467157662,207.3
204,36.385156782344,55.1969090849161,207.3
205,36.3851354923099,55.1968672592193,207.78
206,36.385140856728,55.1968385931104,207.78
207,36.3851017970592,55.1966711226851,207.78
208,36.3850837759674,55.1965978648514,208.26
209,36.3850817643106,55.1965559553355,207.78
210,36.3850735500455,55.19650968723,208.26
211,36.3850422855467,55.1963614951819,208.74
212,36.3850104343146,55.1962174940854,207.78
213,36.3849904853851,55.1960975490511,208.26
214,36.3849707040936,55.1960502751172,207.78
215,36.3849565386772,55.1960068568587,207.78
216,36.3849286269396,55.1959173381329,207.3
217,36.3849438820034,55.1959055196494,207.3
218,36.384934829548,55.1958898454905,207.3
219,36.3848751503974,55.1958292443305,207.78
220,36.384887304157,55.1957204472274,207.3
221,36.3849077560008,55.195608381182,207.78
222,36.3849046546966,55.1954715885222,208.26
223,36.3848689477891,55.1953160203993,207.3
224,36.3848522678018,55.195182999596,207.3
225,36.3848037365824,55.1950284373015,207.3
226,36.3847830332816,55.1948877889663,207.78
227,36.3847424648702,55.1947399321944,207.3
228,36.3847353402525,55.1946168020368,206.82
229,36.3847132120282,55.1944987010211,206.82
230,36.3847029022873,55.1943540293723,206.82
231,36.3846641778946,55.1941692084074,206.34
232,36.384625704959,55.1940165739506,206.34
233,36.3846076838672,55.1939015742391,205.38
234,36.3845853041857,55.1937553100288,205.38
235,36.3845508545637,55.193605106324,205.38
236,36.3845428079367,55.1935399789363,204.9
237,36.3844992220402,55.1933424174786,204.42
238,36.3844848889858,55.193298580125,204.42
239,36.3844490982592,55.1931686606258,204.42
240,36.3844339270145,55.193018456921,203.94
241,36.3844082783908,55.1929072290659,203.46
242,36.3844092842192,55.1928508188576,203.94
243,36.3843667879701,55.192709332332,203.46
244,36.384350862354,55.1925711147487,202.98
245,36.3843304943293,55.192437088117,203.46
246,36.3843129761517,55.1922723837197,202.98
247,36.3842561468482,55.1921386923641,202.98
248,36.3842296600342,55.1920075155795,202.98
249,36.3841973058879,55.1918540429324,202.98
250,36.3841853197664,55.1917247101664,203.46
251,36.3841335196048,55.1915916055441,203.46
252,36.3841092120856,55.1914377138019,203.46
253,36.3841211982071,55.1913010887802,203.46
254,36.3840651232749,55.1910472009331,203.94
255,36.3841300830245,55.190909570083,203.94
256,36.3840874191374,55.1909297704697,203.94
257,36.3839937932789,55.1909482106566,203.94
258,36.3839132431894,55.1909619569778,203.46
259,36.3837953936309,55.190988862887,203.46
260,36.3834985904396,55.1910452730954,203.94
261,36.3832245860249,55.1910599414259,203.94
262,36.3828561175615,55.1910643838346,203.94
263,36.3825648464262,55.1910210493952,203.94
264,36.3823770917952,55.1908977515996,203.94
265,36.382302492857,55.1906989328563,203.46
266,36.3821375370026,55.1905544288456,203.46
267,36.381892869249,55.1904478948563,203.46
268,36.3815925456583,55.1903614774346,202.98
269,36.3815288431943,55.1903313025832,202.98
270,36.3814053777605,55.1903030555695,202.49
271,36.3810866978019,55.1902112737298,202.01
272,36.3807658385485,55.1901189051569,201.53
273,36.3804628327489,55.1900207530707,201.05
274,36.3801410514861,55.1899286359549,200.57
275,36.3800153229386,55.1898860558868,201.05
276,36.3797181006521,55.1898385304958,200.09
277,36.3796164281666,55.1898419670761,199.61
278,36.3793163560331,55.1898956112564,199.61
279,36.3790964987129,55.1899787597358,199.61
280,36.3789136055857,55.1900467369705,199.13
281,36.3789286091924,55.190058387816,199.13
282,36.3789734523743,55.1900916639715,199.61
283,36.3788737915456,55.1901018060744,199.61
284,36.3787960913032,55.1901120319963,199.61
285,36.3787101767957,55.1901217550039,199.13
286,36.378597188741,55.1901770755649,199.61
287,36.3784577976912,55.1902666781098,198.65
288,36.378269540146,55.1903884671628,198.65
289,36.3781566359103,55.1904530078173,198.65
290,36.3779988884926,55.1905722822994,198.65
291,36.3779675401747,55.1906079892069,198.65
292,36.3779459148645,55.1906360685825,198.65
293,36.3779300730676,55.190666243434,199.13
294,36.3778619281948,55.1907894574106,199.13
295,36.377859916538,55.1908423472196,199.13
296,36.377812307328,55.1909812353551,199.61
297,36.3778636045754,55.1910788845271,199.61
298,36.3779526203871,55.1911758631468,199.61
299,36.3780032470822,55.1913264021277,200.09
300,36.378113720566,55.1914444193244,200.09
301,36.378206172958,55.191546510905,199.61
302,36.3783083483577,55.1917249616235,199.61
303,36.3783735595644,55.1918049249798,199.61
304,36.3784374296665,55.1919617503882,200.09
305,36.3785671815276,55.1920837908983,200.09
306,36.3786372542381,55.1922185719013,200.57
307,36.3787330593914,55.192283866927,200.57
308,36.3787733763456,55.1922956015915,200.09
309,36.3789628073573,55.1923719607294,200.09
310,36.3791168667376,55.1924464758486,199.61
311,36.3792346324772,55.192553428933,199.61
312,36.3793235644698,55.1926732901484,199.61
313,36.3793692458421,55.1928128488362,200.09
314,36.3794104009867,55.1929319556803,200.57
315,36.3794224709272,55.1930725201964,200.57
316,36.3793490454555,55.1931885257363,200.09
317,36.3792997598648,55.1932450197637,200.09
318,36.3791990932077,55.1933549065143,200.57
319,36.3790969178081,55.1934933755547,200.09
320,36.3790714368224,55.1935458462685,200.09
321,36.3790373224765,55.1936126500368,200.09
322,36.378922406584,55.1937547232956,200.09
323,36.3788071554154,55.1938917674124,200.09
324,36.3787323050201,55.19402009435,200.57
325,36.3786320574582,55.1941345911473,200.57
326,36.3786072470248,55.1942039094865,200.57
327,36.3785354141146,55.1943375170231,200.57
328,36.3784641679376,55.1944737229496,201.05
329,36.378425359726,55.1945986133069,200.57
330,36.3783602323383,55.1947525050491,200.57
331,36.3783951848745,55.1949215680361,200.57
332,36.3784162234515,55.1950714364648,200.57
333,36.3784581329674,55.1952087320387,200.09
334,36.378491492942,55.1953420881182,200.09
335,36.3784922473133,55.1955091394484,200.57
336,36.3784671854228,55.1956868357956,200.57
337,36.3784563727677,55.1958481036127,200.09
338,36.3784746453166,55.1960004027933,200.57
339,36.3785147108138,55.1961314119399,200.57
340,36.3785543572158,55.196282370016,200.57
341,36.3786033075303,55.1964218448848,201.05
342,36.3786215800792,55.1965615712106,201.05
343,36.3786318898201,55.196673469618,200.57
344,36.3786331471056,55.196784529835,201.05
345,36.3786328118294,55.1969197299331,201.05
346,36.3786754757166,55.197043614462,201.05
347,36.378679247573,55.1971515733749,201.05
348,36.3786780741066,55.1973043754697,201.05
349,36.3786640763283,55.197439994663,201.05
350,36.3786489889026,55.1974968239665,201.53
351,36.3785963505507,55.1977004203945,201.05
352,36.3786445464939,55.197865460068,201.05
353,36.3787328917533,55.1980046834797,201.05
354,36.378729371354,55.1980189327151,201.53
355,36.3786878809333,55.198039803654,201.53
356,36.378623759374,55.1980552263558,201.53
357,36.378496773541,55.1981527078897,201.05
358,36.3785145431757,55.1981755066663,201.05
359,36.3786064926535,55.1983187533915,201.05
360,36.3786690216511,55.1984452363104,201.53
361,36.3787006214261,55.1985690370202,201.05
362,36.378753259778,55.1987595576793,201.05
363,36.3787483144552,55.1988154649734,200.57
364,36.3787850207651,55.1988720218767,200.57
365,36.3789408195164,55.1988609865831,200.57
366,36.3791067923534,55.1988618527609,200.57
367,36.3793974329998,55.1988515201958,200.57
368,36.3798128992216,55.1988181439368,200.57
369,36.3798336441892,55.1988182520126,200.57
370,36.3804551199848,55.1988034452605,200.57
371,36.380888787967,55.1987698896263,200.57
372,36.3810946370432,55.1987648918783,200.57
373,36.3813007496326,55.1987363252492,200.57
374,36.3814346481599,55.1987369756078,200.57
375,36.3815479742567,55.1987316270702,200.57
376,36.3817954161485,55.1986915583592,200.57
377,36.3819393246719,55.1986863672766,200.57
378,36.3821237245662,55.1986636702275,200.57
379,36.3823893013604,55.1986649344815,200.57
380,36.3828091874054,55.1985846819026,200.57
381,36.383146770036,55.198574654077,200.57
382,36.3834919822293,55.1985529313085,200.57
383,36.3840303421509,55.1985556983294,200.57
384,36.3842850594577,55.1985335858822,200.57
385,36.3848039652643,55.1984894729259,200.57
386,36.3851189192827,55.1984618950591,200.57
387,36.3852711048734,55.1984627018301,200.57
388,36.3855249743277,55.198393945533,200.57
389,36.3855556981114,55.1983357088223,200.57
